Availability Information,Related Information,Status,Availability Status
This presentation is temporarily on backorder .,Additional lots are scheduled to be manufactured. Product will be made available as it is released.,Current,not available
Backordered. Next release October 2020.,Check wholesalers for inventory,Current,not available
Availble,Check wholesalers for inventory,Current,available
Next Delivery and Estimated Recovery: September 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Availability is unknown at this time.,API availability,Current,unclear
Availablity is unknown at this time.,API availability,Current,unclear
Supply Interruption,Duration of the supply interruption is unknown at this time.,Current,unclear
7 months expiry (expiry 6/30/2021) dating available by request.,Check wholesalers for inventory,Current,limited availability
On long term backorder,On long term backorder,Current,not available
8 month expiry dating available by request. Next release November 2020.,Check wholesalers for inventory.,Current,not available
Limited Supply Available.  Next Delivery: November 2020; Estimated Recovery: December 2020,,Current,limited availability
Next Delivery: November 2020; Estimated Recovery: November 2020,,Current,not available
Next Delivery: December 2020; Estimated Recovery: April 2021,,Current,not available
Currently Unavailable; Estimated Resupply: 2Q 2021,Finished Goods can be manufactured upon receipt of API.,Current,not available
No product available. Product can be manufactured upon availability of API. Concrete estimated release dates cannot be provided at this moment.,,Current,not available
Unavailable. Re-supply Q1 2021.,,Current,not available
Shipping / Check wholesaler inventory,,Current,unclear
Allocating to wholesalers / Check wholesaler inventory,COVID-19 demand,Current,limited availability
Available. On Allocation,,Current,limited availability
Limited supply available. Next Delivery and Estimated Recovery: TBD,Supply chain has been impacted by shipping delays due to COVID-19,Current,limited availability
"Limited supply, resupply TBD",Manufacturer extended lead times,Current,limited availability
This presentation is currently available.,Additional lots are scheduled for manufacturing.   Product will be made available as it is released.,Current,available
On allocation with intermittent supply.,,Current,limited availability
Next Delivery: November 2020; Estimated Recovery: January 2021,,Current,not available
Next Delivery: November 2020; Estimated Recovery: February 2021,,Current,not available
Limited Supply Available. Next Delivery: January 2021; Estimated Recovery: February 2021,,Current,limited availability
Currently on backorder - next shipment anticipated late Dec 20,Sporadic availability expected.,Current,not available
Limited supply/out of stock. Cannot supoort monthly demand. Estimated shortage duration: 90 days.,API delivery has been delayed due to the impacts caused by COVID-19. Manufacturing and Packaging utilization and allocation process remains active.,Current,limited availability
Limited supply / out of stock.  Cannot support monthly demand.  Estimated shortage duration: 90 days.,API delivery has been delayed due to the impacts caused by COVID-19. Manufacturing and Packaging utilization and allocation process remains active.,Current,limited availability
Limited supply / out of stock.  Cannot support monthly demand. Estimated shortage duration: 90 days.,API delivery has been delayed due to the impacts caused by COVID-19. Manufacturing and Packaging utilization and allocation process remains active.,Current,limited availability
Next Delivery and Estimated Recovery: March 2022,,Current,not available
"Continuous production but due to increase in demand and API shortage, product is/will be on/off backorder for few months.",,Current,limited availability
Next Delivery and Estimated Recovery: January 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered. Next release January 2021.,Check wholesalers for inventory,Current,not available
Next Delivery and Estimated Recovery: December 2020,,Current,not available
Next Delivery: March 2021; Estimated recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,Current,unclear
Next Delivery: January 2021; Estimated recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,Current,unclear
Next Delivery: March 2021; Estimated Recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,Current,unclear
Can only supply contracted customers,Manufacturer extended lead times.,Current,limited availability
Limited supply availability. Product will be allocated until Q1 2021,,Current,limited availability
Intermittent supply until Feb/Mar 2021,,Current,limited availability
"New lots TIMOPTIC-XE® of 0.25% solution available not sooner than January 2021, conditional to manufacturing capacity.",Product is on back order due to manufacturing interruptions; capacity impacted due to COVID-19 Pandemic,Current,unclear
"New lots TIMOPTIC-XE® of 0.5% solution available not sooner than January 2021, conditional to manufacturing capacity.",Product is on back order due to manufacturing interruptions; capacity impacted due to COVID-19 Pandemic,Current,limited availability
"New lots  of 0.25% solution available not sooner than January 2021, conditional to manufacturing capacity",Product is on back order due to manufacturing interruptions; capacity impacted due to COVID-19 Pandemic,Current,limited availability
"New lots  of 0.5% solution available not sooner than January 2021, conditional to manufacturing capacity.",Product is on back order due to manufacturing interruptions; capacity impacted due to COVID-19 Pandemic,Current,not available
Supply not available,,Current,not available
Limited Short dated material available,,Current,limited availability
"Back-order, Estimated availability June 2020",,Current,not available
Short-dated supply available; Fresh supply expected for delivery by end of October,,Current,limited availability
Available. We are satisfying historical committed customer demand.,,Current,available
Currently on backorder; estimate shortage thru Q4 2020.,Distributed by marketing partner: Fresenius Kabi  LLC (888-386-1300),Current,not available
Currently on backorder - next shipment anticipated end of Oct 20,Production increase in response to increased demand.,Current,not available
Currently on backorder - next shipment anticipated Jan 21,Intermittent availability expected,Current,not available
Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.",Current,limited availability
Currently unavailable. Expected resupply end of September and product recovery October 2021,,Current,not available
Out of Stock/Unavailable,,Current,not available
5 month expiry (4/2022 expiry) dating available  by request.,Check wholesaler inventory,Current,limited availability
Backorder due to the increase in demands,,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: November 2021,,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: January 2022,,Current,limited availability
Next Delivery: November 2021; Estimated Recovery: December 2021,,Current,not available
No supply disruption - we are meeting current demand.,Product is manufactured and labeled for Blue Point Laboratories,Current,available
Low inventory,Partial shipments on allocation through December,Current,limited availability
"No disruption to existing patients is anticipated. Until further notice, BMS will continue to limit distribution of Nulojix via the US NULOJIX Distribution Program, initiated 2/15/2017. Starting in August 2018, the restrictions of the NDP were eased to allow for expansion of use to appropriate new patients if the treating physician determines that Nulojix is the best treatment option for the patient. For further information, contact BMS Medical Information.",Increased demand for the drug exacerbated by a delay in transition to a more efficient manufacturing process.,Current,limited availability
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: March 2022,,Current,limited availability
Limited Supply Available. Next Delivery: December 2021; Estimated Recovery: February 2022,,Current,limited availability
Backordered.  Next release December 2021.,Check wholesalers for inventory.,Current,not available
Backordered.  Next release January 2022.,Check wholesalers for inventory.,Current,not available
Next Delivery and Estimated Recovery: April 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: February 2022; Estimated Recovery: March 2022,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: December 2021; Estimated Recovery: January 2023,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: April 2022; Estimated Recovery: May 2022,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: January 2023,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: December 2021; Estimated Recovery: April 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2021; Estimated Recovery: May 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: January 2022; Estimated Recovery: February 2022,,Current,not available
Next Delivery: November 2021; Estimated Recovery: February 2022,,Current,not available
Next Delivery: November 2021; Estimated Recovery: January 2022,,Current,not available
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: January 2022,,Current,limited availability
Next Delivery: December 2021; Estimated Recovery: February 2022,,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: December 2021,,Current,limited availability
Limited Supply Available. Next Delivery: April 2022; Estimated Recovery: August 2022,,Current,limited availability
Backordered. Next release December 2021.,Check wholesalers for inventory.,Current,not available
Not currently available. Estimated Shortage duration TBD,,Current,not available
Backordered. Next release January 2022,Check wholesaler inventory,Current,not available
Product not available; Expected recovery: December 2021,,Current,not available
The product is available through direct distribution from the manufacturer. Please contact your wholesaler or customer service.,,Current,unclear
The product is available through direct distribution from the manufacturer.  Please contact your wholesaler or customer service.,,Current,unclear
"unavailable, resupply expected approximately December 2021",,Current,not available
Available on allocation,,Current,limited availability
Currently Unavailable. Estimated shortage duration: TBD,,Current,not available
On backorder. Estimated availability: Mid-September 2021,"Distributed by Bausch + Lomb, a division of Bausch Health US, LLC – 1-800-321-4576",Current,not available
On backorder. Estimated availability: September 2021,,Current,not available
On backorder. Estimated availability: August 2021,,Current,not available
In shortage; Estimated shortage duration:  Unknown,"Delay in manufacturing. For more information please contact 1-866-634-2765, Leadiant@tmac.com, or go to  www.leadiant.com",Current,limited availability
Backordered.  Next release October 2021.,Manufacturing delay.  Check wholesaler inventory,Current,not available
"Currently, no inventory",Manufacturing delay,Current,not available
Limited quantities are available,,Current,limited availability
Backordered. Next release November 2021.,,Current,not available
8 month expiry (7/2022 expiry) dating available by request.,Check wholesalers for inventory.,Current,limited availability
Currently on backorder - next shipment anticipated early Nov,Check wholesalers for inventory,Current,not available
Inventory available,Marketed by Dr. Reddy’s Laboratories Inc. Check wholesalers for inventory.,Current,available
Par Product Available – Please Check Wholesalers,,Current,unclear
5 month expiry (4/2022 expiry) dating available by request.,Check wholesalers for inventory,Current,limited availability
Short dated stock (4/2022 expiry) available by request. Additional manufacturer in progress.,,Current,limited availability
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery; July 2022,,Current,limited availability
This presentation is on backorder.,Product recovery is undetermined at this time.,Current,not available
Available; Intermittent Backorder,,Current,limited availability
On backorder. Expected release: April 2021,,Current,not available
Next Delivery: November 2021; Estimated Recovery: March 2022,Shortage per Manufacturer: Manufacturing delay,Current,not available
Limited Supply Available. Next Delivery: January 2022; Estimated Recovery: March 2022,,Current,limited availability
Next Delivery and Estimated Recovery: November 2021,,Current,not available
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: February 2022,,Current,limited availability
Next Delivery: March 2022; Estimated Recovery: April 2022,,Current,not available
Next Delivery and Estimated Recovery: TBD,,Current,unclear
Limited inventory on allocation.  Expected recovery mid-November.,,Current,limited availability
Limited inventory on allocation.  Expected recovery mid-October.,,Current,limited availability
Backordered. Next release January 2022.,Check wholesalers for inventory.,Current,not available
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: May 2022,,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: March 2022,,Current,limited availability
Limited Supply Available. Next Delivery: December 2021; Estimated Recovery: May 2022,,Current,limited availability
On backorder. Estimated availability February 2021,,Current,not available
"Currently on backorder, next shipment TBD",Check wholesalers for inventory,Current,not available
Next Delivery: December 2021; Estimated Recovery: January 2022,,Current,not available
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: April 2022,,Current,limited availability
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: December 2021,,Current,limited availability
Next Delivery and Estimated Recovery: December 2021,,Current,not available
"Unavailable, Resupply expected February 2022",,Current,not available
Unavailable. Estimated recovery: TBD,,Current,not available
Product Available – Please Check Wholesalers for Availability,,Current,unclear
Currently on backorder - next shipment anticipated in November,Sporadic availability expected.,Current,not available
Limited Supply,FOR INTRAVENOUS AND INTRAMUSCULAR USE. 30mg/mL (1 mL fill volume/ 2 mL container),Current,limited availability
Currently unavailable. Distribution is anticipated in late December 2021 to early January 2022.,Issues that led the shortage have been addressed but the timing for complete market recovery is unknown at this time.,Current,not available
Backordered – Estimated date of availability TBD,,Current,not available
Backordered. Estimated availability December 2021,,Current,not available
Intermittent Supply,,Current,limited availability
Not Available; Next replenishment anticipated January 2022,,Current,not available
Next Delivery: November 2021; Estimated Recovery: October 2022,,Current,not available
Next Delivery: March 2022; Estimated Recovery: September 2022,,Current,not available
Next Delivery: November 2021; Estimated Recovery: April 2022,,Current,not available
Next Delivery: May 2022; Estimated Recovery: June 2022,,Current,not available
Next Delivery: November 2021; Estimated Recovery: May 2022,,Current,not available
Next Delivery: January 2022; Estimated Recovery: January 2023,,Current,not available
Next Delivery: January 2022; Estimated Recovery: December 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordred. Next release date not available at this time.,Check wholesalers for inventory.,Current,not available
Unavailable. Next Delivery and Estimated Recovery: January 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Unavailable. Next Delivery: September 2022; Estimated Recovery: December 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Currently on backorder - next shipment anticipated end of Nov,Sporadic availability expected.,Current,not available
Next Delivery: November 2021; Estimated Recovery: January 2023,,Current,not available
Next Delivery and Estimated Recovery: July 2022,,Current,not available
Next Delivery: November 2021; Estimated Recovery: September 2022,,Current,not available
"Limited Supply, on Allocation; Recovery Q4",NDC 0338-051-958. Fresenius is the NDA holder and Baxter is the distributor.,Current,limited availability
"Limited Supply on Allocation, Recovery Q4",NDC 0338-051-909. Fresenius is the NDA holder and Baxter is the distributor.,Current,limited availability
Limited Supply on Allocation,NDC 0338-051-914. Fresenius is the NDA holder and Baxter is the distributor.,Current,limited availability
"Product available, on allocation to contracted customers",,Current,limited availability
"Product on back order, next release expected end Nov 2021",,Current,not available
Recovery: Feb 2022,January 2022 recovery,Current,unclear
Limited Supply Available. Next Delivery: December 2021; Estimated Recovery: June 2022,,Current,limited availability
Next Delivery and estimated recovery: May 2022,Shortage per manufacturer: Manufacturing Delay,Current,not available
Next Delivery and estimated recovery: April 2022,Shortage per manufacturer: Manufacturing Delay,Current,not available
Next Delivery and estimated recovery: June 2022,Shortage per manufacturer: Manufacturing Delay,Current,not available
Available; On allocation due to increased demand,,Current,limited availability
No stock available,Marketing partner: Alvogen Inc.,Current,not available
Next Delivery: November 2021; Esimtated Recovery: January 2022,,Current,not available
7 month expiry (6/2022 expiry) dating available by request.,Check wholesalers for inventory,Current,limited availability
Limited supply on allocation,"Drug Product is distributed by Baxter Healthcare, please contact 888-229-0001 for supply related inquires.  For detailed clinical recommendations to use during this shortage, please see information posted by the American Society of Parenteral and Enteral Nutrition",Current,limited availability
Stocked out; Recovery TBD,"Drug Product is distributed by Baxter Healthcare, please contact 888-229-0001 for supply related inquires.  For detailed clinical recommendations to use during this shortage, please see information posted by the American Society of Parenteral and Enteral Nutrition",Current,not available
Estimated availability in 4Q 2021 to 1Q 2022,,Current,not available
Supply Interruption. Relaunch Mar-Apr 2022,,Current,limited availability
Limited supply. Temporarily on allocation through January 2022.,Manufacturing delay,Current,limited availability
Out of Stock,Expected to be back in stock by October 2021.,Current,not available
Unavailable. Expected to release Q4 2022.,,Current,not available
"Currently Available; Predicted Shortage duration: 2 months, January and February 2021
Resupply: March 2021",,Current,limited availability
"Currently available; Predicted Shortage duration: 1 month, February 2021
Resupply: March 2021",,Current,limited availability
Next Delivery: March 2022; Estimated Recovery: June 2022,,Current,not available
Next Delivery: December 2021; Estimated Recovery: June 2022,,Current,not available
Available. Direct shipments to hospitals at 200 vials max per week. Order via on-line portal at www.exelapharma.com,,Current,limited availability
Product on allocation to contracted customers.,,Current,limited availability
Next Delivery: January 2022; Estimated Recovery: April 2022,,Current,not available
Next Delivery: November 2021 and Estimated Recovery: February 2022,,Current,not available
Backordered. Next  release December 2021.,,Current,not available
Limited supply available. Next Delivery ETA Late November 2021 and Estimated Recovery: TBD,Supply chain has been impacted by shipping delays due to COVID-19,Current,limited availability
Pack size discontinued,,Current,discontinued
No current supply,Partial shipments on allocation April-December 2021,Current,not available
Allocating to Wholesalers,Check Wholesaler Inventory,Current,limited availability
This presentation is temporarily on backorder.  Recovery is TBD at this time.,Additional lots will be scheduled for manufacturing.   Product will be made available as it is released.,Current,not available
Next Delivery: November 2021; Estimated Recovery: November 2022,,Current,not available
Backordered. Next release April 2021.,Check wholesaler for inventory,Current,not available
Limited Supply Available. Next Delivery: March 2022; Estimated Recovery: August 2022,,Current,limited availability
Backordered. Next release Q1-2022.,Check wholesalers for inventory,Current,not available
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: December 2022,,Current,limited availability
Next Delivery: January 2022; Estimated Recovery: June 2022,,Current,not available
Limited Supply Available. Next Delivery: November 2021; Estimated Recovery: July 2022,,Current,limited availability
Limited Supply. Next delivery: December 2021; Estimated recovery: December 2022,,Current,limited availability
Next delivery: December 2021; Estimated recovery: April 2022,,Current,not available
Next delivery: December 2021; Estimated recovery: June 2022,,Current,not available
Next delivery: December 2021; Estimated recovery: December 2022,,Current,not available
"Product being allocated.  Distributed by Avet. For inquiries, call Customer Service number 1-855-228-9470",,Current,limited availability
Next Delivery: January 2022; Estimated recovery: April 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2021; Estimated recovery: March 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited supply availability. Product will be allocated until Q3 2021,,Current,limited availability
Availability through wholesalers: Not available. Estimated Duration of Supply Shortage: November 2021,,Current,not available
Currently unavailable. Estimated shortage duration: TBD,,Current,not available
Estimated Date Available; TBD,"Apotex Corp., in coordination with the U.S. FDA, has initiated temporary importation of Apo-Varenicline (varenicline tartrate) 0.5 mg and 1 mg tablets into the U.S. market to address a drug shortage of CHANTIX®. The varenicline tartrate tablets marketed in Canada under the name Apo-Varenicline by Apotex Inc. are approved by Health Canada as a generic equivalent to CHAMPIX® tablets manufactured by Pfizer Canada, Inc. CHAMPIX® is the brand name of CHANTIX® sold in Canada. Product is available via Apotex’s authorized distributors. Contact your primary wholesaler/distributor to place orders.",Current,unclear
Next Delivery: November 2021; Estimated Recovery: July 2022,,Current,not available
Anticipated availability: January 2022,Delay is due to manufacturing delays at the contract manufacturing facility.,Current,not available
Reverified,10/3/2022,Other,unclear
"Backorder, Recovery expected Nov-22",,Current,not available
Allocation,,Current,limited availability
Next Delivery: November 2022; Estimated Recovery: May 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: September 2022; Estimated Recovery: October 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Approximately 2 months of inventory on hand,,Current,limited availability
"Backorder, Recovery expected TBD",Product is manufactured and labeled for Blue Point Laboratories,Current,not available
Backordered. Next release October 2022.,Check wholesaler inventory,Current,not available
Next Delivery: September 2022; Estimated Recovery: June 2023,,Current,not available
Next Delivery: September 2022; Estimated Recovery: March 2023,,Current,not available
Next Delivery: October 2022; Estimated Recovery: May 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
"No disruption to existing patients is anticipated. Until further notice, BMS will continue to limit distribution of Nulojix via the US NULOJIX Distribution Program, initiated 2/15/2017. Starting in August 2018, the restrictions of the NDP were eased to al",,Current,limited availability
Currently out of stock. No estimated release date available.,Manufacturing delay due to active ingredient shortage,Current,not available
Next Delivery and Estimated Recovery: September 2022,,Current,not available
Next Delivery and Estimated Recovery: February 2025,,Current,not available
Backordered.  Next release October 2022.,Check wholesalers for inventory.,Current,not available
Next Delivery: April 2023; Estimated Recovery: December 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: October 2022; Estimated Recovery: March 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: October 2022; Estimated Recovery: January 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: October 2022,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
4 month expiry (12/2022 & 1/2023 expiry) dating available by request.,Check wholesalers for inventory.,Current,unclear
Long-term backorder,,Current,not available
Next Delivery: September 2022; Estimated Recovery: December 2023,,Current,not available
Next Delivery: November 2022; Estimated Recovery: December 2022,,Current,not available
Next Delivery: September 2022; Estimated Recovery: July 2023,,Current,not available
Limited Supply Available. Next Delivery: March 2023; Estimated Recovery: July 2023,,Current,limited availability
Next Delivery: December 2022; Estimated Recovery: January 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: May 2023,,Current,not available
Next Delivery and Estimated Recovery: June 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: December 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered. Next release September 2022.,Check wholesaler inventory,Current,not available
"Currently unavailable, Estimated recovery: June/July 2022",,Current,not available
"Limited availability, Manufacturing and distribution is ongoing.",,Current,limited availability
Next delivery April 2022.  Estimated recovery 3Q 2022.,,Current,not available
Next Delivery and Estimated Recovery: Late Q3 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered – Est date of availability TBD,,Current,not available
Depleted. Next Delivery and Estimated Recovery: October 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: January 2023,,Current,limited availability
Product on allocation for contracted customers,,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: September 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Allocated to Contracted Customers Only,,Current,limited availability
"Limited Supply, Recovery late Sept 2022",,Current,limited availability
Backorder due to increase in demand,,Current,not available
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: December 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: October 2022; Estimated Recovery: December 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
No longer available,No plans to manufacture.  All volumes converted to generic version,Current,discontinued
"Product is available, on allocation",,Current,limited availability
"Backorder, Recovery expected Jan-23",,Current,not available
"Unavailable, resupply Q4 2022/Q1 2023",,Current,not available
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: November 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
"On allocation, then discontinued.",,Current,discontinued
Next Delivery & Recovery: October 2022,,Current,not available
"Backorder, Recovery expected March 2023",,Current,not available
Next Delivery and Estimated Recovery: October 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: November 2022; Estimated Recovery: January 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: October 2022; Estimated Recovery: February 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: February 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery and Estimated Recovery: November 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Available starting June 1st, 2022 through limited distribution by AllianceRx Walgreens Prime Specialty Pharmacy.",,Current,limited availability
Unavailable. Estimated availability 1Q2023.,New manufacturing site being qualified.,Current,not available
Limited availability. Manufacturing and distribution is ongoing. Increase in demand orders will be taken on a case-by-case basis.,,Current,limited availability
Product available upon request,,Current,limited availability
Pending information,Distributed by Civica,Current,unclear
Q1 2023,,Current,unclear
Next delivery: March 2023; Estimated recovery: December 2023,Manufacturing Delay,Current,not available
Next delivery: February 2023; Estimated recovery: March 2023,Manufacturing Delay,Current,not available
"Stocked Out, Recovery Q4",,Resolved,not available
Limited Supply Available. Next Delivery: January 2023; Estimated Recovery: May 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: December 2022; Estimated Recovery: March 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: October 2022; Estimated Recovery: January 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Product anticipated mid/late October 2022,,Current,not available
Anticipated availability: August 2023.,Delay is due to manufacturing delays at the contract manufacturing facility.,Current,not available
"A limited inventory will be available in June, July and August 2022. Estimated recovery September 2022",,Current,limited availability
"A limited inventory will be available in June, July and August 2022. Estimate recovery October 2022",,Current,limited availability
"Backorder, Recovery expected Oct-22",,Current,not available
Backorder. Estimated availability Aug 2022,,Current,not available
Backorder. Estimated availability July 2022,,Current,not available
Next Delivery: September 2022; Estimated Recovery: November 2022,,Current,not available
Limited Supply Recovery Q4,,Current,limited availability
Available. On 100% allocation.,,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: October 2022,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
"Unavailable, Resupply expected July 2023",,Current,not available
"Out of Stock, no plans to manufacture until sometime in 2023",,Current,not available
Backordered. Product availability is likely to be impacted until the end of January 2023.,,Current,not available
Backordered. Product availability is likely to be impacted until the end of 2022.,,Current,not available
"Drug Shortage Resolved.  Product Available as of August 26, 2022.",,Current,available
Backordered. Product availability is likely to be impacted until the end of October 2022.,,Current,not available
"Backordered. Product will be available for order September 05, 2022.",,Current,not available
"Backordered. Product will be available for order October 10, 2022.",,Current,not available
"Product available as of July 1, 2022.",,Current,available
"Backordered. Product will be available for order September 22, 2022.",,Current,not available
"Product Available as of July 1, 2022.",,Current,available
"Backordered. Product will be available for order October 30, 2022.",,Current,not available
"Backordered. Product will be available for order September 5, 2022.",,Current,not available
Backordered. Product availability is likely to be impacted until the end of August.,,Current,not available
Backordered. Product availability is likely to be impacted until the end of September.,,Current,not available
"Estimated Availability: October 4, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 26, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 29, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 9, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 6, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 21, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: October 11, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 13, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
