id,generic_name,company_name,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued,ndc,availability_status
2262,Amino Acids,B. Braun Medical Inc.,"15% Amino Acid (Plenamine) in 1,000mL glass container, catalog S3200-SS, (NDC 0264-3200-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,9/24/19,0264-3200-55,
2263,Amino Acids,B. Braun Medical Inc.,"10% FreAmine III (Amino Acid Injection) in 1,000mL glass container, catalog S9010-SS, (NDC 0264-9010-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0264-9010-55,
2264,Amino Acids,B. Braun Medical Inc.,"TrophAmine (10% Amino Acid Injection) in 500mL glass container, catalog S9341-SS, (NDC 0264-9341-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0264-9341-55,
2265,Amino Acids,B. Braun Medical Inc.,"TrophAmine (6% Amino Acid Injection) in 500mL glass container, catalog S9361-SS, (NDC 0264-9361-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0264-9361-55,
2266,Amino Acids,"ICU Medical, Inc.","AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0409-4178-03,
2267,Amino Acids,"ICU Medical, Inc.","AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (NDC 0409-4179-05)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0409-4179-05,
2268,Amino Acids,"ICU Medical, Inc.",Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17),Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0409-7172-17,
2269,Amino Acids,"ICU Medical, Inc.",Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (NDC 0409-7171-17),Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0409-7171-17,
2270,Amino Acids,Baxter Healthcare,"PREMASOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 2B0009 10% 1000 mL (NDC 0338-1130-04), 2B0010 10% 2000 mL (NDC 0338-1130-06),
2B0012 10% 500 mL (NDC 0338-1130-03)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-1130-04,
2271,Amino Acids,Baxter Healthcare,"10% TRAVASOL (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 1B6624 10% 1000 mL (NDC 0338-0644-04),
1B6623 10% 500 mL (NDC 0338-0644-03),
1B6626P 10% 2000 mL (NDC 0338-0644-06)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-0644-04,
2272,Amino Acids,Baxter Healthcare,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-0502-06,
2273,Amino Acids,Baxter Healthcare,"20% PROSOL - sulfite-free (Amino Acid) Injection, 2000 mL VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Code 2B6186 (NDC 0338-0499-06)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-0499-06,
2274,Amino Acids,Baxter Healthcare,CLINIMIX E sulfite-free (Amino Acid with Electrolytes in Dextrose with Calcium) Injection in CLARITY Dual Chamber Container,Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,,
2275,Amino Acids,Baxter Healthcare,CLINIMIX sulfite-free (Amino Acid in Dextrose) Injection in CLARITY Dual Chamber Container,Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,,
2276,Amino Acids,Baxter Healthcare,SYNTHAMIN 17 without Electrolytes - 10% Amino Acids Intravenous Infusion 3000 mL. Product code FKB6642.  Pack factor 3  (NDC 0338-9575-03),Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-9575-03,
2277,Amino Acids,Baxter Healthcare,"CLINIMIX N9G15E-Solution for Infusion, 1000 mL (2.75% Amino Acid in 7.5% Glucose with Electrolytes). Product code FKB6669C - Pack factor of 8 (NDC 0338-9570-08)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-9570-08,
2278,Amino Acids,Baxter Healthcare,"CLINIMIX N9G20E-Solution for Infusion, 1000 mL  (2.75% Amino Acid in 10% Glucose with Electrolytes) Product code FKB6670C - Pack factor of 8 
(NDC 0338-9566-08)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-9566-08,
2279,Amino Acids,Baxter Healthcare,"CLINIMIX N14G30E-Solution for Infusion, 2000 mL (4.25% Amino Acid in 15% Dextrose with Electrolytes) Product code FKB6654V - Pack factor of 4 (NDC 0338-9587-04)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,,0338-9587-04,
2280,"Aminophylline Injection, USP","Hospira, Inc.",250 mg/10mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5921-01),Reverified,11/20/20,Available,,,Other,Pulmonary/Allergy,Current,,,0409-5921-01,available
2281,"Aminophylline Injection, USP","Hospira, Inc.",500 mg/20mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5922-01),Reverified,11/20/20,Available,,,Other,Pulmonary/Allergy,Current,,,0409-5922-01,available
2282,Amiodarone Tablets,Sandoz,"Amiodarone hydrochloride tablets, 200 mg, 60 count bottle (NDC 0185-0144-60)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18,0185-0144-60,discontinued
2283,Amiodarone Tablets,Sandoz,"Amiodarone hydrochloride tablets, 200 mg, 90 count bottle (NDC 0185-0144-09)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18,0185-0144-09,discontinued
2284,Amiodarone Tablets,Sandoz,"Amiodarone hydrochloride tablets, 200 mg, 500 count bottle (NDC 0185-0144-05)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18,0185-0144-05,discontinued
2285,Amiodarone Tablets,Sandoz,"Amiodarone hydrochloride tablets, 400 mg, 500 count bottle (NDC 0245-0145-15)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18,0245-0145-15,discontinued
2286,Amiodarone Tablets,Sandoz,"Amiodarone hydrochloride tablets, 400 mg, 30 count bottle (NDC 0245-0145-30)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18,0245-0145-30,discontinued
2287,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"10 mg, 100 count bottle (NDC 0378-2610-01)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2610-01,discontinued
2288,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"10 mg, 1000 count bottle (NDC 0378-2610-10)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2610-10,discontinued
2289,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"25 mg, 100 count bottle (NDC 0378-2625-01)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2625-01,discontinued
2290,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"25 mg, 1000 count bottle (NDC 0378-2625-10)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2625-10,discontinued
2291,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"50 mg, 100 count bottle (NDC 0378-2650-01)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2650-01,discontinued
2292,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"50 mg, 1000 count bottle (NDC 0378-2650-10)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2650-10,discontinued
2293,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"75 mg, 100 count bottle (NDC 0378-2675-01)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2675-01,discontinued
2294,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"100 mg, 100 count bottle (NDC 0378-2685-01)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2685-01,discontinued
2295,Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,"150 mg, 100 count bottle (NDC 0378-2695-01)",New,5/2/19,,,,,Psychiatry,To be Discontinued,5/2/19,5/2/19,0378-2695-01,discontinued
2296,Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,2.5 mg/10 mg (NDC 0093-7370-01),New,6/5/19,,This was a business-related decision to discontinue manufacturing these products,,,Cardiovascular,To be Discontinued,6/5/19,6/5/19,0093-7370-01,discontinued
2297,Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,5 mg/10 mg (NDC 0093-7371-01),New,6/5/19,,This was a business-related decision to discontinue manufacturing these products,,,Cardiovascular,To be Discontinued,6/5/19,6/5/19,0093-7371-01,discontinued
2298,Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,5 mg/20 mg (NDC 0093-7372-01),New,6/5/19,,This was a business-related decision to discontinue manufacturing these products,,,Cardiovascular,To be Discontinued,6/5/19,6/5/19,0093-7372-01,discontinued
2299,Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,5 mg/40 mg (NDC 0093-7670-01),New,6/5/19,,This was a business-related decision to discontinue manufacturing these products,,,Cardiovascular,To be Discontinued,6/5/19,6/5/19,0093-7670-01,discontinued
2300,Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,10 mg/20 mg (NDC 0093-7373-01),New,6/5/19,,This was a business-related decision to discontinue manufacturing these products,,,Cardiovascular,To be Discontinued,6/5/19,6/5/19,0093-7373-01,discontinued
2301,Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,10 mg/40 mg (NDC 0093-7671-01),New,6/5/19,,This was a business-related decision to discontinue manufacturing these products,,,Cardiovascular,To be Discontinued,6/5/19,6/5/19,0093-7671-01,discontinued
2302,Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",5 mg/20 mg tablets (NDCs 0093-7027-56 and 0093-7027-98),New,3/11/19,,This product discontinuation is a business related decision.,,,Cardiovascular,To be Discontinued,3/11/19,3/11/19,,discontinued
2303,Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",5 mg/40 mg tablets (NDCs 0093-7028-56 and 0093-7028-98),New,3/11/19,,This product discontinuation is a business related decision.,,,Cardiovascular,To be Discontinued,3/11/19,3/11/19,,discontinued
2304,Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",10 mg/20 mg tablets (NDCs 0093-7029-56 and 0093-7029-98),New,3/11/19,,This product discontinuation is a business related decision.,,,Cardiovascular,To be Discontinued,3/11/19,3/11/19,,discontinued
2305,Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",10 mg/20 mg tablets (NDCs 0093-7030-56 and 0093-7030-98),New,3/11/19,,This product discontinuation is a business related decision.,,,Cardiovascular,To be Discontinued,3/11/19,3/11/19,,discontinued
2306,Amoxapine Tablets,Teva Pharmaceuticals,"50 mg, 100 tablets (NDC 0591-5714-01)",Reverified,11/19/20,Available,,,,Psychiatry,Current,3/9/20,,0591-5714-01,available
2307,Amoxapine Tablets,Teva Pharmaceuticals,"25 mg, 100 tablets (NDC 0591-5713-01)",Reverified,11/19/20,On backorder,Recovery March 2021,,Other,Psychiatry,Current,3/9/20,,0591-5713-01,not available
2308,Amoxapine Tablets,Teva Pharmaceuticals,"100 mg, 100 tablets (NDC 0591-5715-01)",Reverified,11/19/20,Available,,,,Psychiatry,Current,3/9/20,,0591-5715-01,available
2309,Amoxapine Tablets,Teva Pharmaceuticals,"150 mg, 100 tablets (NDC 0591-5716-01)",Reverified,11/19/20,Available,,,,Psychiatry,Current,3/9/20,,0591-5716-01,available
2310,Amoxicillin Powder for Suspension,Teva Pharmaceuticals,"125 mg/5 mL powder for suspension (NDCs 0093-4150-73, 0093-4150-79 and 0093-4150-80)",New,6/3/19,,This product discontinuation is a business related decision.,,,Anti-Infective,To be Discontinued,6/3/19,6/3/19,,discontinued
2311,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"5 mg, 100 Count Bottle (NDC 68382-950-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-950-01,limited availability
2312,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"7.5 mg, 100 Count Bottle (NDC 68382-951-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-951-01,limited availability
2313,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"10 mg, 100 Count Bottle (NDC 68382-952-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-952-01,limited availability
2314,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"12.5 mg, 100 Count Bottle (NDC 68382-953-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-953-01,limited availability
2315,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"15 mg, 100 Count Bottle (NDC 68382-954-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-954-01,limited availability
2316,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"20 mg, 100 Count Bottle (NDC 68382-955-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-955-01,limited availability
2317,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,"30 mg, 100 Count Bottle (NDC 68382-956-01)",Reverified,10/13/20,Available; allocating inventory.,Product is on allocation to its current committed customers.,,Shortage of an active ingredient,Psychiatry,Current,,,68382-956-01,limited availability
2318,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,"30 mg, 100 Count Bottle (NDC 0185-0864-01)",Reverified,11/13/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,0185-0864-01,available
2319,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,"20 mg, 100 Count Bottle (NDC 0185-0853-01)",Reverified,11/13/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,0185-0853-01,available
2320,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,"10 mg, 100 Count Bottle (NDC 0185-0842-01)",Reverified,11/13/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,0185-0842-01,available
2321,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,"5 mg, 100 Count Bottle (NDC 0185-0831-01)",Reverified,11/13/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,0185-0831-01,available
2322,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 10mg 100 (NDC 57844-0110-01),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,57844-0110-01,available
2323,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 12.5mg 100 (NDC 57844-0112-01),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,57844-0112-01,available
2324,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 15mg 100 (NDC 57844-0115-01),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,57844-0115-01,available
2325,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 20mg 100 (NDC 57844-0120-01),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,57844-0120-01,available
2326,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 30mg 100 (NDC 57844-0130-01),Reverified,11/19/20,Available,,,Other,Psychiatry,Current,,,57844-0130-01,available
2327,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 5mg 100 (NDC 57844-0105-01),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,57844-0105-01,available
2328,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,Adderall(R) Tablets 7.5mg 100 (NDC 57844-0117-01),Reverified,11/19/20,Available,,,Other,Psychiatry,Current,,,57844-0117-01,available
2329,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,5mg [1.25/1.25/1.25/1.25mg] 100s (NDC 0378-4541-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4541-01,not available
2330,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,7.5mg [1.875/1.875/1.875/1.875mg] 100s (NDC 0378-4542-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4542-01,not available
2331,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,10mg [2.5/2.5/2.5/2.5mg] 100s (NDC 0378-4543-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4543-01,not available
2332,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,12.5mg [3.125/3.125/3.125/3.125mg] 100s (NDC 0378-4544-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4544-01,not available
2333,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,15mg [3.75/3.75/3.75/3.75mg] 100s (NDC 0378-4545-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4545-01,not available
2334,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,20mg [5/5/5/5mg] 100s (NDC 0378-4546-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4546-01,not available
2335,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,30mg [7.5/7.5/7.5/7.5mg] 100s (NDC 0378-4547-01),Reverified,11/10/20,Out of Stock – Resupply TBD,,,Other,Psychiatry,Current,,,0378-4547-01,not available
2336,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 5 mg, 100 (NDC 13107-0068-01)",Reverified,9/25/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,13107-0068-01,available
2337,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 10 mg, 100 (NDC 13107-0070-01)",Reverified,9/25/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,13107-0070-01,available
2338,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 15 mg, 100 (NDC 13107-0072-01)",Reverified,9/25/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,13107-0072-01,available
2339,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 20 mg, 100 (NDC 13107-0073-01)",Reverified,9/25/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,13107-0073-01,available
2340,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 30 mg, 100 (NDC 13107-0074-01)",Reverified,9/25/20,Available,,,Demand increase for the drug,Psychiatry,Current,,,13107-0074-01,available
2341,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,12.5  mg 100 count (NDC 0555-0776-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0776-02,available
2342,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,15  mg 100 count (NDC 0555-0777-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0777-02,available
2343,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,7.5  mg 100 count (NDC 0555-0775-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0775-02,available
2344,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,10  mg 100 count (NDC 0555-0972-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0972-02,available
2345,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,20 mg 100 count (NDC 0555-0973-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0973-02,available
2346,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,30 mg 100 count (NDC 0555-0974-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0974-02,available
2347,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,5 mg 100 count (NDC 0555-0971-02),Reverified,11/19/20,Available,,,,Psychiatry,Current,,,0555-0971-02,available
2348,Anagrelide Hydrochloride Capsules,Teva Pharmaceuticals,1 MG 100 Capsules (NDC 0172-5240-60),Reverified,11/19/20,"Limited inventory, on allocation",,,Requirements related to complying with good manufacturing practices,Hematology,Current,,,0172-5240-60,limited availability
2349,Anagrelide Hydrochloride Capsules,Teva Pharmaceuticals,0.5 MG 100 Capsules (NDC 0172-5241-60),Reverified,11/19/20,"Limited inventory, on allocation",,,Requirements related to complying with good manufacturing practices,Hematology,Current,,,0172-5241-60,limited availability
2350,Anagrelide Hydrochloride Capsules,Shire US Inc. now part of Takeda,"AGRYLIN 0.5 mg Capsule,100 capsules in 1 bottle (NDC 54092-063-01)",Reverified,10/27/20,Available,Takeda is actively working to mitigate a recent unexpected increase in demand for the product.,,Demand increase for the drug,Hematology,Current,,,54092-063-01,available
2351,Anagrelide Hydrochloride Capsules,Torrent Pharma Inc.,0.5 mg per capsule Bottles of 100 (NDC 13668-453-01),Reverified,9/14/20,Available and shipping,,,Requirements related to complying with good manufacturing practices,Hematology,Current,,,13668-453-01,available
2352,Anagrelide Hydrochloride Capsules,Torrent Pharma Inc.,"1 mg per capsule, Bottles of 100 (NDC 13668-462-01)",Reverified,9/14/20,Available and shipping,,,Requirements related to complying with good manufacturing practices,Hematology,Current,,,13668-462-01,available
2353,Anastrozole Tablets,Apotex Corp.,1 mg tablets (NDC 60505-2985-3),New,1/21/20,,,,,Oncology,To be Discontinued,1/21/20,1/21/20,60505-2985-3,discontinued
2354,Argatroban Injection,Novartis,"250 mg/2.5 mL (100 mg/mL), single dose vial (NDC 0078-0930-61)",New,1/15/20,,"Novartis Pharmaceuticals has made a business decision to permanently discontinue the product Argatroban Injection, Vial 250 mg/2.5 mL.",,,Hematology,To be Discontinued,1/15/20,1/15/20,0078-0930-61,discontinued
2355,Asparaginase Erwinia Chrysanthemi (Erwinaze),"Jazz Pharmaceuticals, Inc.","ERWINAZE 10,000 IU lyophilized powder supplied in a clear 3 mL glass vial 5 vial carton (NDC 57902-249-05)",Revised,11/6/20,Available,,,Other,Hematology;Oncology;Pediatric,Current,,,57902-249-05,available
