Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Guanfacine Hydrochloride Tablets,"Epic Pharma, LLC",203-564-0568,"Guanfacine Tablets 1 mg, 100 Count (NDC 42806-048-01)",New,6/12/2019,Available,"
","
",Other,Cardiovascular,Current,"
","
",10/24/2017,"
","
","
","
","
","
","
"
Guanfacine Hydrochloride Tablets,"Epic Pharma, LLC",203-564-0568,"Guanfacine Tablets 2 mg, 100 Count (NDC 42806-296-01)",New,6/12/2019,Available,"
","
",Other,Cardiovascular,Current,"
","
",10/24/2017,"
","
","
","
","
","
","
"
Guanidine Hydrochloride Tablets,Merck Sharp & Dohme Corp.,800-672-6372,125 mg tablets (NDC 0085-0492-01),New,9/28/2020,"
",To be discontinued on or near October 2020.,"
","
",Neurology,To be Discontinued,9/28/2020,9/28/2020,9/28/2020,"
","
","
","
","
","
","
"
Haloperidol Lactate (Haldol) Injection,"Janssen Biotech, Inc.",800-526-7736,"5 mg/mL, 10 ampule in 1 box, > 1 mL in 1 ampule, (NDC 50458-255-01)",New,11/13/2020,"
",Product discontinuation as per business decision,"
","
",Psychiatry,To be Discontinued,11/13/2020,11/13/2020,11/13/2020,"
","
","
","
","
","
","
"
Haloperidol Lactate Injection,Patriot Pharmaceuticals,215-325-7676,"5 mg/mL, 10 ampule in 1 box,> 1 mL in 1 ampule, (NDC 10147-0911-1)",New,11/13/2020,"
",Product discontinuation as per business decision,"
","
",Psychiatry,To be Discontinued,11/13/2020,11/13/2020,11/13/2020,"
","
","
","
","
","
","
"
Haloperidol Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,0.5 mg (NDC 0378-0351-01) and (NDC 0378-0351-10),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,1 mg (NDC 0378-0257-01) and (NDC 0378-0257-10),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,2 mg (NDC 0378-0214-01) and (NDC 0378-0214-10),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,5 mg (NDC 0378-0327-01) and (NDC 0378-0327-10),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,10 mg (NDC 0378-0334-01),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,20 mg (NDC 0378-0355-01),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Zydus Pharmaceuticals USA Inc.,609-730-1900,HALOPERIDOL TAB 5MG 100 CT (NDC 68382-079-01),Revised,11/20/2019,"
","
",Available,"
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Zydus Pharmaceuticals USA Inc.,609-730-1900,HALOPERIDOL TAB 5MG 1000 CT (NDC 68382-079-10),Revised,11/20/2019,"
","
",Available,"
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Zydus Pharmaceuticals USA Inc.,609-730-1900,HALOPERIDOL TAB 10MG 100 CT (NDC 68382-080-01),Revised,11/20/2019,"
","
",Available,"
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Zydus Pharmaceuticals USA Inc.,609-730-1900,HALOPERIDOL TAB 20MG 100 CT (NDC 68382-081-01),Revised,11/20/2019,"
","
",Available,"
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,0.5 mg 100 count bottle (NDC 0781-13-9101),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,0.5 mg 100 count bottle (NDC 0781-83-9101),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,0.5 mg 100 count unit dose (NDC 0781-13-9113),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,1 mg 100 count bottle (NDC 0781-13-9201),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,1 mg 100 count bottle (NDC 0781-83-9201),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,1 mg 100 count unit dose (NDC 0781-13-9213),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,2 mg 100 count bottle (NDC 0781-13-9801),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,2 mg 100 count unit dose (NDC 0781-13-9213),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,5 mg 1000 count bottle (NDC 0781-13-9610),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,5 mg 1000 count bottle (NDC 0781-83-9610),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,5 mg 100 count bottle (NDC 0781-13-9601),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,5 mg 100 count bottle (NDC 0781-83-9601),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,5 mg 100 count unit dose (NDC 0781-13-9613),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,10 mg 100 count bottle (NDC 0781-13-9701),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,10 mg 100 count bottle (NDC 0781-83-9701),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,10 mg 100 count unit dose (NDC 0781-13-9713),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Haloperidol Tablets,Sandoz,800-525-8747,20 mg 100 count bottle (NDC 0781-83-9301),Revised,11/20/2019,"
","
","
","
",Psychiatry,Resolved,11/20/2019,"
",10/19/2018,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,Baxter Healthcare,888-229-0001,"Heparin Sodium and 0.9% Sodium Chloride Injection, 1,000 units / 500 mL (2 units / mL) in VIAFLEX Plastic Container.  Product code AHB0953U (NDC 0338-0424-18)",Reverified,12/22/2020,Available,Product code AHB0953U replaces code 2B0953,"
","
",Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,Sagent Pharmaceuticals,866-625-1618,1000 units/mL 10mL pack 25 (NDC 25021-400-10),Reverified,10/22/2020,Available.,"
","
","
",Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,Baxter Healthcare,888-229-0001,"Heparin Sodium and 0.9% Sodium Chloride Injection in VIAFLEX Plus Plastic Container: 2,000 USP units in 1000 mL.  Product code 2B0944  (NDC 0338-0433-04)",Reverified,12/22/2020,Available,"
","
","
",Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,Baxter Healthcare,888-229-0001,"Heparin Sodium and 0.9% Sodium Chloride Injection in VIAFLEX Plus Plastic Container: 1,000 USP units in 500 mL.  Product code 2B0953 (NDC 0338-0431-03)",Reverified,12/22/2020,Unavailable,Product code 2B0953 was replaced with code AHB0953U,"
",Other,Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,"Hospira, Inc.",844-646-4398,"1,000 Units/500 mL (2 Units/mL); Flexible Container (NDC 00409-7620-03)",Revised,1/12/2021,Limited Supply Available. Next Delivery: January 2021; Estimated Recovery: April 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,"
",Other,Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,"Hospira, Inc.",844-646-4398,"2,000 Units/1000 mL (2 Units/mL); Flexible Container (NDC 00409-7620-59)",Revised,1/12/2021,Limited Supply Available. Next Delivery: January 2021; Estimated Recovery: May 2021,"
","
",Demand increase for the drug,Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,"Fresenius Kabi USA, LLC",888-386-1300,"1,000 Units/500 mL; (2 units/mL); Single dose, freeflex bag; (NDC 63323-519-77)",Reverified,12/30/2020,Expected availability February 2021,"
","
",Other,Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
Heparin Sodium and Sodium Chloride 0.9% Injection,"Fresenius Kabi USA, LLC",888-386-1300,"2,000 Units/1000 mL; (2 units/mL); Single dose, freeflex bag; (NDC 63323-519-10)",Reverified,12/30/2020,Expected availability February 2021,"
","
",Other,Hematology,Current,"
","
",11/14/2017,"
","
","
","
","
","
","
"
"Hydralazine Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"20 mg per mL, SDV (NDC 63323-614-01)",Revised,12/30/2020,Backordered.  Next release expected January 2021.,Check wholesaler for inventory,"
",Manufacturing Delay,Cardiovascular,Current,"
","
",9/8/2020,"
","
","
","
","
","
","
"
"Hydralazine Hydrochloride Injection, USP",Akorn Pharmaceuticals,800-932-5676,"20 mg/mL, 1mL single dose vial  (box of 10) (NDC 17478-934-01)",Revised,12/8/2020,Discontinued,"
","
",Other,Cardiovascular,Current,"
","
",9/8/2020,"
","
","
","
","
","
","
"
"Hydralazine Hydrochloride Injection, USP",Akorn Pharmaceuticals,800-932-5676,"20 mg/mL, 1mL single dose vial  (box of 25) (NDC 17478-934-15)",Revised,12/8/2020,On backorder. Expected release - 12/11/2020,Manufacturer interruption production issues.,"
",Other,Cardiovascular,Current,"
","
",9/8/2020,"
","
","
","
","
","
","
"
"Hydralazine Hydrochloride Injection, USP",Mylan Institutional,800-796-9526,20 mg / 1 ml] 25PK (NDC 67457-291-01),Reverified,1/8/2021,Intermittent supply,"
","
",Demand increase for the drug,Cardiovascular,Current,"
","
",9/8/2020,"
","
","
","
","
","
","
"
"Hydralazine Hydrochloride Injection, USP","X-GEN Pharmaceuticals, Inc.",866-390-4411,20 mg/mL per vial (NDC 39822-0500-4),Revised,9/9/2020,Not available and no plans to manufacture at this time.,"
","
",Other,Cardiovascular,Current,"
","
",9/8/2020,"
","
","
","
","
","
","
"
Hydrochlorothiazide and Lisinopril Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,20 mg/25 mg (NDC 0378-2025-01),New,5/22/2018,"
",The discontinuation of this product is a business decision,"
","
",Cardiovascular,To be Discontinued,5/22/2018,5/22/2018,5/22/2018,"
","
","
","
","
","
","
"
Hydrochlorothiazide and Lisinopril Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,12.5 mg/ 20 mg (NDC 0378-2012-01),New,5/22/2018,"
",The discontinuation of this product is a business decision,"
","
",Cardiovascular,To be Discontinued,5/22/2018,5/22/2018,5/22/2018,"
","
","
","
","
","
","
"
Hydrochlorothiazide and Lisinopril Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,10 mg/ 12.5 mg (NDC 0378-1012-01),New,5/22/2018,"
",The discontinuation of this product is a business decision,"
","
",Cardiovascular,To be Discontinued,5/22/2018,5/22/2018,5/22/2018,"
","
","
","
","
","
","
"
Hydrocodone Bitartrate and Homatropine Methylbromide Oral Solution,Perrigo Pharmaceuticals,269-673-8451,Hydrocodone Bitartrate (5 mg/5 mL) and Homatropine Methylbromide (1.5 mg/5 mL)(NDC 0574-1105-16),New,6/5/2018,"
",The discontinuation of this product is a business decision,"
","
",Pediatric;Pulmonary/Allergy,To be Discontinued,6/5/2018,6/5/2018,6/5/2018,"
","
","
","
","
","
","
"
Hydrocodone/Homatropine Tablets,Lupin,866-587-4617,5/1.5 mg (NDC 43386-0118-03),New,12/28/2020,"
",This discontinuation is a business decision. We have no plans to re-enter the market at this time.,"
","
",Pulmonary/Allergy,To be Discontinued,12/28/2020,12/28/2020,12/28/2020,"
","
","
","
","
","
","
"
Hydrocortisone Acetate Suppository,Torrent Pharma Inc.,908-280-3333,Boxes of 12 suppositories (NDC 59741-301-12),New,11/25/2019,"
","
","
","
",Other;Urology,To be Discontinued,11/25/2019,11/25/2019,11/25/2019,"
","
","
","
","
","
","
"
Hydrocortisone Acetate Suppository,Torrent Pharma Inc.,908-280-3333,Boxes of 24 suppositories (NDC 59741-301-24),New,11/25/2019,"
","
","
","
",Other;Urology,To be Discontinued,11/25/2019,11/25/2019,11/25/2019,"
","
","
","
","
","
","
"
Hydrocortisone Acetate Suppository,Torrent Pharma Inc.,908-280-3333,Boxes of 100 suppositories (NDC 59741-301-01),New,11/25/2019,"
","
","
","
",Other;Urology,To be Discontinued,11/25/2019,11/25/2019,11/25/2019,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP","Vensun Pharmaceuticals, Inc.",855-273-0146,"5 mg, 50 count bottles (NDC 64380-970-25)",New,10/5/2020,Available,"
","
","
",Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP","Vensun Pharmaceuticals, Inc.",855-273-0146,"10 mg, 100 count bottles (NDC 64380-971-06)",New,10/5/2020,Available,"
","
","
",Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP","Vensun Pharmaceuticals, Inc.",855-273-0146,"20 mg, 100 count bottles (NDC 64380-972-06)",New,10/5/2020,Available,"
","
","
",Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Amneal Pharmaceutical,866-525-7270,100mg/100 count (NDC 00115-1697-01),New,5/15/2020,Unavailable,"
","
",Limited API availability,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Amneal Pharmaceutical,866-525-7270,20mg/100 count (NDC 00115-1700-01),New,5/15/2020,Limited availability,"
","
",Limited API availability,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Pfizer Pharmaceuticals,800-533-4535,5 mg tablet; bottle of 50 (NDC 59762-0073-1),Revised,1/12/2021,Next Delivery: January 2021; Estimated Recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,"
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Pfizer Pharmaceuticals,800-533-4535,10 mg tablet; bottle of 100 (NDC 59762-0074-1),Revised,1/12/2021,Next Delivery: January 2021; Estimated Recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,"
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Pfizer Pharmaceuticals,800-533-4535,20 mg tablet; bottle of 100 (NDC 59762-0075-1),Revised,1/12/2021,Next Delivery: January 2021; Estimated Recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,"
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Pfizer Pharmaceuticals,800-533-4535,Cortef 20 mg tablet; bottle of 100 (NDC 0009-0044-01),Revised,1/12/2021,Available,"
","
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Pfizer Pharmaceuticals,800-533-4535,Cortef 5 mg tablet; bottle of 50 (NDC 0009-0012-01),Revised,1/12/2021,Limited Supply Available. Next Delivery: January 2021; Estimated Recovery: February 2021,"
","
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP",Pfizer Pharmaceuticals,800-533-4535,Cortef 10 mg tablet; bottle of 100 (NDC 0009-0031-01),Revised,1/12/2021,Available,"
","
",Demand increase for the drug,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP","Vensun Pharmaceuticals, Inc.",855-273-0146,"5 mg, 50 count bottles (NDC 42543-140-50)",Reverified,10/5/2020,Available,ANDA Holder: Strides Pharma,"
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP","Vensun Pharmaceuticals, Inc.",855-273-0146,"10 mg, 100 count bottles (NDC 42543-141-01)",Reverified,10/5/2020,Available,ANDA Holder: Strides Pharma,"
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydrocortisone Tablets, USP","Vensun Pharmaceuticals, Inc.",855-273-0146,"20 mg, 100 count bottles (NDC 42543-142-01)",Reverified,10/5/2020,Available,ANDA Holder: Strides Pharma,"
",Other,Endocrinology/Metabolism,Current,"
","
",4/2/2020,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"(Dilaudid) 0.5 mg per 0.5 mL, prefilled syringe (NDC 76045-009-06)                                                                                           Microvault",Revised,12/30/2020,Available,Check wholesalers for inventory,"
","
",Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"(Dilaudid) 1 mg per 1 mL, prefilled syringe (NDC 76045-009-11)                                                                                                                                                                                     Microvault",Revised,12/30/2020,Available,Check wholesalers for inventory,"
","
",Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"1 mg per 1 mL, Single dose vial, (NDC 63323-852-25)",Revised,12/30/2020,Backordered. Next release January 2021.,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"2 mg per 1 mL, Single dose vial, (NDC 63323-853-25)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"4 mg per 1 mL, Single dose vial, (NDC 63323-854-10)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"10 mg per 1 mL, Single dose vial, high potency formulation (HPF), (NDC 63323-851-10)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"50 mg per 5 mL, Single dose vial, high potency formulation (HPF), (NDC 63323-851-15)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"500 mg per 50 mL, Single dose vial, high potency formulation (HPF), (NDC 63323-851-50)",Revised,12/30/2020,Backorderd. Next release February 2021.,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"(Dilaudid) 0.5 mg per 0.5 mL, prefilled syringe (NDC 76045-009-05)",Revised,12/30/2020,Check wholesalers for inventory,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"(Dilaudid) 1 mg per 1 mL, prefilled syringe (NDC 76045-009-10)                                                                                                                                       Blister pack",Revised,12/30/2020,Check wholesalers for inventory,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"(Dilaudid) 2 mg per 1 mL, prefilled syringe (NDC 76045-010-10)",Revised,12/30/2020,Backordered. Next release date not available at this time.,Check wholesalers for inventory,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Fresenius Kabi USA, LLC",888-386-1300,"(Dilaudid) 4 mg per 1 mL, prefilled syringe (NDC 76045-011-10)",Revised,12/30/2020,Backordered. Next release date not available at this time.,"
","
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP",Teva Pharmaceuticals,800-545-8800,10 MG/1ML (NDC0703-0110-03),Reverified,1/5/2021,Available,"
","
","
",Analgesia/Addiction,Current,"
","
",11/1/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP",Teva Pharmaceuticals,800-545-8800,10 MG/1ML (NDC 0703-0113-03),Reverified,1/5/2021,Available,"
","
","
",Analgesia/Addiction,Current,"
","
",11/1/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP",Teva Pharmaceuticals,800-545-8800,10 MG/1 ML (NDC 0703-0018-01),Reverified,1/5/2021,Available,"
","
","
",Analgesia/Addiction,Current,"
","
",11/1/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"2 mg/mL, 1 mL vial (NDC 0641-0121-25)",Revised,12/29/2020,Inventory is currently available.,Additional lots will be scheduled for manufacturing to meet demand.  Product will be made available as it is released.,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",11/3/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"2 mg/mL, 20 mL vial (NDC 0641-2341-41)",Revised,12/29/2020,Inventory is currently available.,Additional lots will be scheduled for manufacturing to meet demand.  Product will be made available as it is released.,"
",Demand increase for the drug,Analgesia/Addiction,Current,"
","
",11/3/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,0.5 mg/0.5 mL (1 mg/mL); iSecure Luer Lock Glass Syringe (NDC 00409-1283-05),Reverified,1/12/2021,Available,"
","
",Other,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,1 mg/1 mL (1 mg/1 mL); iSecure Luer Lock Glass Syringe (NDC 00409-1283-10),Reverified,1/12/2021,Discontinued,"
","
",Discontinuation of the manufacture of the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,2 mg/1 mL (2 mg/mL); iSecure Luer Lock Glass Syringe (NDC 00409-1312-10),Reverified,1/12/2021,Discontinued,"
","
",Discontinuation of the manufacture of the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,1 mg/1 mL (1 mg/mL); Carpuject Luer Lock Glass Syringe (NDC 00409-1283-31),Reverified,1/12/2021,Available,"
","
",Other,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,2 mg/1 mL (2 mg/mL); Carpuject Luer Lock Glass Syringe (NDC 00409-1312-30),Reverified,1/12/2021,Available,"
","
",Other,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,4 mg/1 mL (4 mg/mL); Carpuject Luer Lock Glass Syringe (NDC 00409-1304-31),Reverified,1/12/2021,Available,"
","
",Other,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,1 mg/1 mL (1 mg/mL); Glass Ampul (NDC 00409-2552-01),Reverified,1/12/2021,Available,"
","
",Other,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,2 mg/1 mL (2 mg/mL); Glass Ampul (NDC 00409-3356-01),Reverified,1/12/2021,Discontinued,"
","
",Discontinuation of the manufacture of the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
"Hydromorphone Hydrochloride Injection, USP","Hospira, Inc.",844-646-4398,4 mg/1 mL (4 mg/mL); Glass Ampul (NDC 00409-2540-01),Reverified,1/12/2021,Discontinued,"
","
",Discontinuation of the manufacture of the drug,Analgesia/Addiction,Current,"
","
",10/31/2017,"
","
","
","
","
","
","
"
