id,generic_name,company_name,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
13812,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 150 mg (NDC 63304-692-77)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13813,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-01)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13814,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-03)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13815,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-05)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13816,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-11)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13817,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-16)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13818,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-62)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13819,Clindamycin Hydrochloride Capsule,Sun Pharmaceutical Industries Limited,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-77)",New,12/5/24,,Discontinuing for business reasons,,,Anti-Infective,To Be Discontinued,,12/5/24
13820,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, 300 mg/2 mL (150 mg/mL) (NDC 0009-3051-02)",Revised,8/15/25,Unavailable,Next Delivery and Estimated Recovery: December 2025,,Other,Anti-Infective,Current,,
13821,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, 900 mg/6 mL (150 mg/mL) (NDC 0009-5095-06)",Revised,8/15/25,Limited Availability,Limited Supply Available. Next Delivery: April 2026; Estimated Recovery: June 2026,,Other,Anti-Infective,Current,,
13822,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, 600 mg/4 mL (150 mg/mL) (NDC 0009-4073-04)",Revised,8/15/25,Available,,,,Anti-Infective,Current,,
13823,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, Cleocin Phosphate 300 mg/2 mL (150 mg/mL) (NDC 0009-0870-26)",Revised,8/15/25,Available,,,,Anti-Infective,Current,,
13824,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, Cleocin Phosphate 600 mg/4 mL (150 mg/mL) (NDC 0009-0775-26)",Revised,8/15/25,Unavailable,Next Delivery and Estimated Recovery: December 2025,,Other,Anti-Infective,Current,,
13825,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, Cleocin Phosphate 9 g/60 mL (150 mg/mL) (NDC 0009-0728-09)",Revised,8/15/25,Unavailable,Next Delivery: February 2026; Estimated Recovery: March 2026,,Demand increase for the drug,Anti-Infective,Current,,
13826,Clindamycin Phosphate Injection,Pfizer Inc.,"Cleocin Phosphate, Injection, Cleocin Phosphate 900 mg/6 mL (150 mg/mL) (NDC 0009-0902-18)",Revised,8/15/25,Limited Availability,Limited Supply Available. Next Delivery and Estimated Recovery: December 2025,,Other,Anti-Infective,Current,,
13827,Clindamycin Phosphate Injection,Sagent Pharmaceuticals,"Clindamycin Phosphate, Injection, 150 mg/1 mL (NDC 25021-115-02)",Reverified,8/26/25,Available,,,,Anti-Infective,Current,,
13828,Clindamycin Phosphate Injection,Sagent Pharmaceuticals,"Clindamycin Phosphate, Injection, 150 mg/1 mL (NDC 25021-115-04)",Reverified,8/26/25,Available,,,,Anti-Infective,Current,,
13829,Clindamycin Phosphate Injection,Sagent Pharmaceuticals,"Clindamycin Phosphate, Injection, 150 mg/1 mL (NDC 25021-115-06)",Reverified,8/26/25,Available,,,,Anti-Infective,Current,,
13830,Clindamycin Phosphate Injection,Baxter Healthcare,"Clindamycin Phosphate, Injection, 300 mg/50 mL (NDC 0338-9545-50)",Reverified,8/15/25,Unavailable,Estimated recovery: September 2025,,Demand increase for the drug,Anti-Infective,Current,,
13831,Clindamycin Phosphate Injection,Baxter Healthcare,"Clindamycin Phosphate, Injection, 300 mg/50 mL (NDC 0338-9549-50)",Revised,8/15/25,Limited Availability,Estimated recovery: October 2025,,Other,Anti-Infective,Current,,
13832,Clindamycin Phosphate Injection,Baxter Healthcare,"Clindamycin Phosphate, Injection, 900 mg/50 mL (NDC 0338-9553-50)",Reverified,8/15/25,Available,,,,Anti-Infective,Current,,
13833,Clindamycin Phosphate Injection,Baxter Healthcare,"Clindamycin Phosphate, Injection, 300 mg/50 mL (NDC 0338-3410-50)",Reverified,9/3/25,Unavailable,Estimated recovery: September 2025,,Demand increase for the drug,Anti-Infective,Current,,
13834,Clindamycin Phosphate Injection,Baxter Healthcare,"Clindamycin Phosphate, Injection, 600 mg/50 mL (NDC 0338-3612-50)",Reverified,9/3/25,Available,,,,Anti-Infective,Current,,
13835,Clindamycin Phosphate Injection,Baxter Healthcare,"Clindamycin Phosphate, Injection, 900 mg/50 mL (NDC 0338-3814-50)",Revised,8/15/25,Unavailable,Estimated recovery: November 2025,,Demand increase for the drug,Anti-Infective,Current,,
13836,Clindamycin Phosphate Injection,Sandoz Inc.,"Clindamycin Phosphate In 5% Dextrose In Plastic Container, Injection, 6 mg/1 mL (NDC 0781-3288-09)",Reverified,8/15/25,Available,,,,Anti-Infective,Current,,
13837,Clindamycin Phosphate Injection,Sandoz Inc.,"Clindamycin Phosphate In 5% Dextrose In Plastic Container, Injection, 12 mg/1 mL (NDC 0781-3289-09)",Reverified,8/15/25,Available,,,,Anti-Infective,Current,,
13838,Clindamycin Phosphate Injection,Sandoz Inc.,"Clindamycin Phosphate In 5% Dextrose In Plastic Container, Injection, 18 mg/1 mL (NDC 0781-3290-09)",Reverified,8/15/25,Available,,,,Anti-Infective,Current,,
13839,Clindamycin Phosphate Injection,Sandoz Inc.,"Clindamycin Phosphate In 5% Dextrose In Plastic Container, Injection, 12 mg/1 mL (NDC 72572-074-24)",Reverified,8/15/25,Available,Civica Label,,,Anti-Infective,Current,,
13840,Clindamycin Phosphate Injection,Sandoz Inc.,"Clindamycin Phosphate In 5% Dextrose In Plastic Container, Injection, 18 mg/1 mL (NDC 72572-076-24)",Reverified,8/15/25,Available,Civica Label,,,Anti-Infective,Current,,
13841,Clindamycin Phosphate; Benzoyl Peroxide Gel,"Teva Pharmaceuticals USA, Inc.","Clindamycin Phosphate; Benzoyl Peroxide, Gel, 25 mg/1 g; 10 mg/1 g (NDC 0591-3916-68)",New,8/1/25,,A business decision was made to discontinue manufacture of the product.,,,Dermatology,To Be Discontinued,,8/1/25
13842,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, .5 mg (NDC 72888-152-00)",Reverified,8/19/25,Information pending,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13843,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 1 mg (NDC 72888-153-00)",Reverified,8/19/25,Information pending,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13844,Clonazepam Tablet,Aurobindo Pharma USA,"Clonazepam, Tablet, .5 mg (NDC 59651-722-01)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13845,Clonazepam Tablet,Aurobindo Pharma USA,"Clonazepam, Tablet, .5 mg (NDC 59651-722-99)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13846,Clonazepam Tablet,Aurobindo Pharma USA,"Clonazepam, Tablet, 1 mg (NDC 59651-723-01)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13847,Clonazepam Tablet,Aurobindo Pharma USA,"Clonazepam, Tablet, 1 mg (NDC 59651-723-99)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13848,Clonazepam Tablet,Aurobindo Pharma USA,"Clonazepam, Tablet, 2 mg (NDC 59651-724-01)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13849,Clonazepam Tablet,Aurobindo Pharma USA,"Clonazepam, Tablet, 2 mg (NDC 59651-724-05)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13850,Clonazepam Tablet,Accord Healthcare Inc.,"Clonazepam, Tablet, .5 mg (NDC 16729-136-00)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13851,Clonazepam Tablet,Accord Healthcare Inc.,"Clonazepam, Tablet, .5 mg (NDC 16729-136-16)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13852,Clonazepam Tablet,Accord Healthcare Inc.,"Clonazepam, Tablet, 1 mg (NDC 16729-137-00)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13853,Clonazepam Tablet,Accord Healthcare Inc.,"Clonazepam, Tablet, 1 mg (NDC 16729-137-16)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13854,Clonazepam Tablet,Accord Healthcare Inc.,"Clonazepam, Tablet, 2 mg (NDC 16729-138-00)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13855,Clonazepam Tablet,Accord Healthcare Inc.,"Clonazepam, Tablet, 2 mg (NDC 16729-138-16)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13856,Clonazepam Tablet,Cheplapharm Arzneimittel GmbH,"Klonopin, Tablet, .5 mg (NDC 61269-605-10)",Reverified,9/3/25,Available,Marketed by H2-Pharma,,,Neurology; Pediatric; Psychiatry,Current,,
13857,Clonazepam Tablet,Cheplapharm Arzneimittel GmbH,"Klonopin, Tablet, 1 mg (NDC 61269-610-10)",Reverified,9/3/25,Available,Marketed by H2-Pharma,,,Neurology; Pediatric; Psychiatry,Current,,
13858,Clonazepam Tablet,Cheplapharm Arzneimittel GmbH,"Klonopin, Tablet, 2 mg (NDC 61269-620-10)",Reverified,9/3/25,Available,Marketed by H2-Pharma,,,Neurology; Pediatric; Psychiatry,Current,,
13859,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, .5 mg (NDC 43547-406-10)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13860,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, .5 mg (NDC 43547-406-11)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13861,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, .5 mg (NDC 43547-406-50)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13862,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, 1 mg (NDC 43547-407-10)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13863,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, 1 mg (NDC 43547-407-11)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13864,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, 1 mg (NDC 43547-407-50)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13865,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, 2 mg (NDC 43547-408-10)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13866,Clonazepam Tablet,"Prinston Pharmaceutical, Inc.","Clonazepam, Tablet, 2 mg (NDC 43547-408-50)",Reverified,8/19/25,Available,Marketed by Solco Healthcare,,,Neurology; Pediatric; Psychiatry,Current,,
13867,Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.","Clonazepam, Tablet, .5 mg (NDC 0093-0832-01)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13868,Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.","Clonazepam, Tablet, .5 mg (NDC 0093-0832-05)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13869,Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.","Clonazepam, Tablet, 1 mg (NDC 0093-3212-01)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13870,Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.","Clonazepam, Tablet, 1 mg (NDC 0093-3212-05)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13871,Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.","Clonazepam, Tablet, 2 mg (NDC 0093-3213-01)",Reverified,8/19/25,Limited Availability,Estimated recovery: September 2025,,Other,Neurology; Pediatric; Psychiatry,Current,,
13872,Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.","Clonazepam, Tablet, 2 mg (NDC 0093-3213-05)",Reverified,8/19/25,Available,,,,Neurology; Pediatric; Psychiatry,Current,,
13873,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, .5 mg (NDC 72888-152-30)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13874,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, .5 mg (NDC 72888-152-01)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13875,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, .5 mg (NDC 72888-152-05)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13876,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 1 mg (NDC 72888-153-30)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13877,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 1 mg (NDC 72888-153-01)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13878,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 1 mg (NDC 72888-153-05)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13879,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 2 mg (NDC 72888-154-30)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13880,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 2 mg (NDC 72888-154-01)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13881,Clonazepam Tablet,Rubicon Research Private Limited,"Clonazepam, Tablet, 2 mg (NDC 72888-154-05)",Reverified,8/19/25,Available,Marketed by Advagen Pharma Ltd.,,,Neurology; Pediatric; Psychiatry,Current,,
13882,Conivaptan Hydrochloride Injection,Cumberland Pharmaceuticals Inc.,"Vaprisol Dextrose In Plastic Container, Injection, 20 mg/100 mL (NDC 66220-160-10)",Reverified,8/15/25,Unavailable,,,Delay in shipping of the drug,Cardiovascular,Current,,
13883,Cromolyn Sodium Concentrate,"Rising Pharma Holdings, Inc.","Cromolyn Sodium, Concentrate, 100 mg/5 mL (NDC 16571-600-96)",Revised,8/15/25,Available,,,,Pulmonary/Allergy,Current,,
13884,Cromolyn Sodium Concentrate,Micro Labs LTD,"Cromolyn Sodium, Concentrate, 100 mg/5 mL (NDC 42571-132-52)",Reverified,9/2/25,Available,,,,Pulmonary/Allergy,Current,,
13885,Cromolyn Sodium Concentrate,"Mylan Specialty, a Viatris Company","Gastrocrom, Concentrate, 20 mg/1 mL (NDC 0037-0678-96)",Reverified,9/3/25,Available,,,,Pulmonary/Allergy,Current,,
13886,Cromolyn Sodium Concentrate,Ailex Pharmaceuticals,"Cromolyn Sodium, Concentrate, 100 mg/5 mL (NDC 81665-104-96)",Revised,8/15/25,Available,Distributed by Omnivium Pharmaceuticals LLC (888) 807-9195,,,Pulmonary/Allergy,Current,,
13887,Cyanocobalamin Injection,Accord Healthcare Inc.,"Dodex, Injection, 1000 ug/1 mL (NDC 16729-533-08)",New,1/17/25,,Permanent discontinuation in the manufacturing of the drug.,,,Hematology,To Be Discontinued,,1/17/25
13888,Cyclosporine Oral Solution,AbbVie Inc.,"Gengraf, Oral Solution, 100 mg/ml (NDC 0074-7269-50)",New,12/5/24,,"Abbvie has made a business decision to permanently discontinue GENGRAF Oral Solution (cyclosporine oral solution, USP) 100 mg/mL .",,,Transplant,To Be Discontinued,,12/5/24
13889,"Dalfampridine Tablet, Extended Release","Sun Pharmaceutical Industries, Inc.","Tablet, Extended Release, 10 mg (NDC 62756-429-86)",New,9/20/24,,,,,Neurology,To Be Discontinued,,9/20/24
13890,Dapagliflozin; Saxaglipitin Hydrochloride Tablet,AstraZeneca AB,"Qtern, Tablet, 5 mg; 5 mg (NDC 0310-6770-30)",New,3/3/25,,,,,Endocrinology/Metabolism,To Be Discontinued,,
13891,Dapagliflozin; Saxaglipitin Hydrochloride Tablet,AstraZeneca AB,"Qtern, Tablet, 10 mg; 5 mg (NDC 0310-6780-30)",New,3/3/25,,,,,Endocrinology/Metabolism,To Be Discontinued,,3/3/25
13892,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 1 mg (NDC 0173-0897-13)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13893,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 1 mg (NDC 0173-0897-56)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13894,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 2 mg (NDC 0173-0903-13)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13895,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 2 mg (NDC 0173-0903-56)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13896,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 4 mg (NDC 0173-0906-13)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13897,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 4 mg (NDC 0173-0906-56)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13898,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 6 mg (NDC 0173-0911-13)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13899,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 6 mg (NDC 0173-0911-56)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13900,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 8 mg (NDC 0173-0914-13)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13901,Daprodustat Tablet,GlaxoSmithKline,"Jesduvroq, Tablet, 8 mg (NDC 0173-0914-56)",New,11/21/24,,Discontinuing for Business Reasons.,,,Hematology,To Be Discontinued,,11/21/24
13902,Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.","Desipramine Hydrochloride, Tablet, 10 mg (NDC 23155-578-01)",New,8/12/25,,Discontinuation of the manufacture of the drug,,,Psychiatry,To Be Discontinued,,8/12/25
13903,Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.","Desipramine Hydrochloride, Tablet, 25 mg (NDC 23155-579-01)",New,8/12/25,,Discontinuation of the manufacture of the drug,,,Psychiatry,To Be Discontinued,,8/12/25
13904,Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.","Desipramine Hydrochloride, Tablet, 50 mg (NDC 23155-580-01)",New,8/12/25,,Discontinuation of the manufacture of the drug,,,Psychiatry,To Be Discontinued,,8/12/25
13905,Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.","Desipramine Hydrochloride, Tablet, 75 mg (NDC 23155-581-01)",New,8/12/25,,Discontinuation of the manufacture of the drug,,,Psychiatry,To Be Discontinued,,8/12/25
13906,Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.","Desipramine Hydrochloride, Tablet, 100 mg (NDC 23155-582-01)",New,8/12/25,,Discontinuation of the manufacture of the drug,,,Psychiatry,To Be Discontinued,,8/12/25
13907,Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.","Desipramine Hydrochloride, Tablet, 150 mg (NDC 23155-583-25)",New,8/12/25,,Discontinuation of the manufacture of the drug,,,Psychiatry,To Be Discontinued,,8/12/25
13908,Desmopressin Acetate Injection,Sun Pharmaceutical Industries Limited,"Desmopressin Acetate, Injection, 4 ug/1 mL (NDC 62756-529-40)",New,12/5/24,,Discontinuing for business reasons,,,Endocrinology/Metabolism,To Be Discontinued,,12/5/24
13909,Desmopressin Acetate Spray,Ferring,"Desmopressin Acetate, Spray, 10 ug/.1 mL (NDC 69918-501-05)",Reverified,6/27/25,Unavailable,,,Requirements related to complying with good manufacturing practices,Hematology,Current,,
13910,Desmopressin Acetate Spray,Ferring,"Ddavp, Spray, .1 ug/1 mL (NDC 55566-2500-0)",Reverified,6/27/25,Unavailable,,,Requirements related to complying with good manufacturing practices,Hematology,Current,,
13911,Desmopressin Acetate Spray,Apotex Corp.,"Desmopressin Acetate (needs No Refrigeration), Spray, 10 ug (NDC 60505-0815-0)",Reverified,7/24/25,Available,,,,Hematology,Current,,
13912,Desmopressin Acetate Spray,Ferring,"Stimate, Spray, 1.5 mg/1 mL (NDC 0053-6871-00)",Reverified,6/27/25,Unavailable,,,Requirements related to complying with good manufacturing practices,Hematology,Current,,
13913,Desonide Cream,"Actavis Pharma, Inc.","Desowen, Cream, .5 mg/1 g (NDC 0472-0804-15)",New,5/28/25,,,,,Dermatology,To Be Discontinued,,5/28/25
13914,Desonide Cream,"Actavis Pharma, Inc.","Desowen, Cream, .5 mg/1 g (NDC 0472-0804-60)",New,5/28/25,,,,,Dermatology,To Be Discontinued,,5/28/25
13915,Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC","Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 76045-106-10)",Reverified,9/2/25,Unavailable,Not available at this time.,,Demand increase for the drug,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13916,Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC","Dexamethasone Sodium Phosphate, Injection, 10 mg/1 mL (NDC 76045-109-10)",Reverified,9/2/25,Available,Check wholesalers for inventory,,,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13917,Dexamethasone Sodium Phosphate Injection,Eugia US LLC,"Dexamethasone Sodium Phosphate, Injection, 10 mg/1 mL (NDC 55150-304-25)",Revised,8/21/25,Available,Check wholesalers for inventory,,,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13918,Dexamethasone Sodium Phosphate Injection,Eugia US LLC,"Dexamethasone Sodium Phosphate, Injection, 100 mg/10 mL (NDC 55150-305-10)",Revised,8/21/25,Unavailable,On backorder. Recovery: TBD. Check wholesalers for inventory,,Demand increase for the drug,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13919,Dexamethasone Sodium Phosphate Injection,"Mylan Institutional, a Viatris Company","Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 67457-423-12)",Reverified,9/3/25,Available,,,,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13920,Dexamethasone Sodium Phosphate Injection,"Mylan Institutional, a Viatris Company","Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 67457-422-54)",Reverified,9/3/25,Available,,,,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13921,Dexamethasone Sodium Phosphate Injection,"Mylan Institutional, a Viatris Company","Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 67457-421-30)",Reverified,9/3/25,Available,,,,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13922,Dexamethasone Sodium Phosphate Injection,"Mylan Institutional, a Viatris Company","Dexamethasone Sodium Phosphate, Injection, 10 mg/1 mL (NDC 67457-420-10)",Reverified,9/3/25,Available,,,,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13923,Dexamethasone Sodium Phosphate Injection,Eugia US LLC,"Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 55150-237-01)",Revised,8/21/25,Unavailable,On backorder. Recovery: TBD. Check wholesalers for inventory,,Demand increase for the drug,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13924,Dexamethasone Sodium Phosphate Injection,Eugia US LLC,"Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 55150-238-05)",Revised,8/21/25,Unavailable,On backorder. Recovery: TBD. Check wholesalers for inventory,,Demand increase for the drug,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
13925,Dexamethasone Sodium Phosphate Injection,Eugia US LLC,"Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 55150-239-30)",Revised,8/21/25,Unavailable,On backorder. Recovery: TBD. Check wholesalers for inventory,,Demand increase for the drug,Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Current,,
